"","tracking sheet 2024
i put everything in here that seems major to me","","","","","","","","","","","","","","","","","","","","","","","",""
"","title","","playtime","","","","","","","","","","","","","","","","","","","","","",""
"","My Hero Academia - Season 3","02/01/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","My Hero Academia - Two Heroes (Movie)","02/01/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","My Hero Academia - Season 4","07/01/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Touhou 6 (note 20/03/2026: this wasn't a 1cc iirc)","16/01/2024","not tracked","","","","","","","","","","","","","","","","","","","","","",""
"","Neon Genesis Evangelion","25/01/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","The End Of Evangelion","05/02/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Like A Dragon: Infinite Wealth (Main Story)","18/02/2024","106.3h","","","","","","","","","","","","","","","","","","","","","",""
"","My Hero Academia - Season 5","28/02/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Like A Dragon: Infinite Wealth (All Drink Links, Life Links, Personality Stats, Bingo Boards, Dondoko Island Storyline, Dungeons)","03/03/2024","159.8h","","","","","","","","","","","","","","","","","","","","","",""
"","se7en","03/03/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","My Hero Academia the Movie 2: Heroes Rising","09/03/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","My Hero Academia the Movie 3: World Heroes' Mission","10/03/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Like A Dragon: Infinite Wealth (NG+ Legend Yong Yea Run, ALL ACHIEVEMENTS)","11/03/2024","208.4h","","","","","","","","","","","","","","","","","","","","","",""
"","My Hero Academia - Season 6","18/03/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Touhou Hero of Ice Fairy (Early Access Main Story)","22/03/2024","8-9h","","","","","","","","","","","","","","","","","","","","","",""
"","Hades (Cleared first escape attempt)","30/03/2024","27.6h","","","","","","","","","","","","","","","","","","","","","",""
"","Sousou no Frieren","03/04/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Forsen I Wanna Be The Boshy Playthrough (2018)","04/04/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Invincible - Season 2","05/04/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Smiling Friends - Season 1","05/04/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Yakuza: Dead Souls","08/04/2024","~16h","","","","","","","","","","","","","","","","","","","","","",""
"","Touhou Hero of Ice Fairy (Full Release Finale)","09/04/2024","13h","","","","","","","","","","","","","","","","","","","","","",""
"","Metal Gear Solid","19/04/2024","~15h","","","","","","","","","","","","","","","","","","","","","",""
"","The Lord of the Rings - The Fellowship of the Ring (Extended Edition)","23/04/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Hotline Miami (Main Story & Epilogue)","23/04/2024","6.5h","","","","","","","","","","","","","","","","","","","","","",""
"","Fallout (tv show)","27/04/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","The Lord of the Rings - The Two Towers (Extended Edition)","29/04/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","The Lord of the Rings - The Return of the King (Extended Edition)","01/05/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Another Crab's Treasure (Story + All Achievements)","01/05/2024","22h","","","","","","","","","","","","","","","","","","","","","",""
"","Elden Ring","19/05/2024","~90h","","","","","","","","","","","","","","","","","","","","","",""
"","Bocchi the Rock!","20/05/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Malenia (Elden Ring)","21/05/2024","~20h for the fight","","","","","","","","","","","","","","","","","","","","","",""
"","Elden Ring NG+1","27/05/2024","~11h after Malenia","","","","","","","","","","","","","","","","","","","","","",""
"","Steel Ball Run","06/06/2024","NINE MONTHS","","","","","","","","","","","","","","","","","","","","","",""
"","Code Geass - Season 1","09/06/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Code Geass - Season 2","15/06/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Persona 3 Reload","17/06/2024","~82h","","","","","","","","","","","","","","","","","","","","","",""
"","Code Geass: Lelouch of the Re;surrection","18/06/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Smiling Friends - Season 2","25/06/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","JoJolion","26/06/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Spy x Family - Season 1 (Part 1)","28/06/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Milk inside a bag of milk inside a bag of milk","29/06/2024","0.5h","","","","","","","","","","","","","","","","","","","","","",""
"","Spy x Family - Season 1 (Part 2)","29/06/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Puella Magi Madoka Magica","01/07/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Spy x Family - Season 2","04/07/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Elden Ring: Shadow of the Erdtree (All Bosses)","04/07/2024","~46h","","","","","","","","","","","","","","","","","","","","","",""
"","Higurashi When They Cry - Onikakushi","05/07/2024","16.5h","","","","","","","","","","","","","","","","","","","","","",""
"","Higurashi When They Cry - Watanagashi","07/07/2024","21.3h","","","","","","","","","","","","","","","","","","","","","",""
"","Higurashi When They Cry - Tatarigoroshi","17/07/2024","~21h","","","","","","","","","","","","","","","","","","","","","",""
"","The Boys - Season 4","18/07/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Chainsaw Man (Manga) - Public Safety Arc","21/07/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Madoka Magica Movie 3","21/07/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Higurashi When They Cry - Himatsubushi","26/07/2024","~10h","","","","","","","","","","","","","","","","","","","","","",""
"","Kaguya-sama: Love is War","28/07/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Kaguya-sama: Love is War OVA","28/07/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Azumanga Daioh: The Animation","05/08/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Caught up with Chainsaw Man (up until latest chapter 173)","06/08/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Deadpool & Wolverine","10/08/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Mob Psycho 100","15/08/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Higurashi When They Cry - Meakashi","17/08/2024","18.9h","","","","","","","","","","","","","","","","","","","","","",""
"","Mob Psycho 100 II","19/08/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Jujutsu Kaisen (Manga) - up until Shibuya Incident Ending 
(Anime Season 2 Ending)","25/08/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Mob Psycho 100 III","26/08/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Kaguya-sama: Love is War?","31/08/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Kaguya-sama: Love is War -Ultra Romantic-","09/09/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Kaguya-sama: Love is War -The First Kiss That Never Ends-","17/09/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Shikanoko Nokonoko Koshitantan","18/09/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Jujutsu Kaisen (Manga)","27/09/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Joker: Folie à Deux","05/10/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Yakuza 5 Replay (Legend Difficulty, All Substories + Amon)","31/10/2024","~80h","","","","","","","","","","","","","","","","","","","","","",""
"","Fullmetal Alchemist: Brotherhood","06/11/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","My Hero Academia - Season 7","08/11/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","Look Back","13/11/2024","","","","","","","","","","","","","","","","","","","","","","",""
"","JoJo's Bizarre Adventure Part 1: Phantom Blood (Manga)","14/11/2024","","","","","","","","","","","","","","","","","","","","","","",""
